"Lineage for Asset:"
"app-sf-alpha","CustomerManagement","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/d05dbccd-b1a9-4ef9-bedd-cce72c3e6b80"
"Downstream(callsTo)"
"Source Type","Source Asset","Source Context","Source URL","Target Type","Target Asset","Target Context","Target URL"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","cromsvcstrg",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/cromsvcstrg"
"app-sf-alpha","BillingIndexInquiryController","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/94472304-eb3d-420c-a466-c97fe9162ee1","app-sf-alpha","Requests to unmonitored hosts",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/Requests to unmonitored hosts"
"app-sf-alpha","BillingIndexInquiryController","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/94472304-eb3d-420c-a466-c97fe9162ee1","app-sf-alpha","financialssvc",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/financialssvc"
"app-sf-alpha","BillingIndexInquiryController","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/94472304-eb3d-420c-a466-c97fe9162ee1","app-sf-alpha","EavsRetrieval",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/EavsRetrieval"
"app-sf-alpha","EavsRetrieval","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/abb24b44-ebfb-4108-8072-b00e4a57535f","app-sf-alpha","commonsvc",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/commonsvc"
"app-sf-alpha","EavsRetrieval","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/abb24b44-ebfb-4108-8072-b00e4a57535f","app-sf-alpha","IdentityController",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/IdentityController"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","FITIC0A",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/FITIC0A"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHY0C",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHY0C"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHY0F",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHY0F"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHW0E",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHW0E"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHW0D",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHW0D"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHW0A",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHW0A"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHY0D",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHY0D"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHW0B",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHW0B"
"app-sf-alpha","CustomerRetrievalIntegrationService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/df48fb04-d4e2-469f-b60d-142d150baa81","app-sf-alpha","DDFHY0E",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/DDFHY0E"
