"Lineage for Asset:"
"swaggerjsonlogical","os-limits V1","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/c9780f95-2ab1-4101-a851-61030c5a2aee"
"Upstream(calledBy)"
"Source Type","Source Asset","Source Context","Source URL","Target Type","Target Asset","Target Context","Target URL"
"swaggerjsonlogical","Swagger Petstore full with extensions V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/eaaea379-2212-4b66-8320-7898f11631d8","swaggerjsonlogical","os-disk-config V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d6c01e10-c2a3-42a5-9d5e-6ee016fc9867"
"swaggerjsonlogical","os-disk-config V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d6c01e10-c2a3-42a5-9d5e-6ee016fc9867","swaggerjsonlogical","os-ext-ips V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/14d4595a-18ed-4e58-9f1d-c945eeb570b1"
"swaggerjsonlogical","os-ext-ips V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/14d4595a-18ed-4e58-9f1d-c945eeb570b1","swaggerjsonlogical","os-instance-actions V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/cb85d629-fef5-4674-95d1-3e3ab5fa6560"
"swaggerjsonlogical","os-instance-actions V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/cb85d629-fef5-4674-95d1-3e3ab5fa6560","swaggerjsonlogical","os-deferred-delete-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/9a95150a-c2c3-4816-a47b-f12f41be14c1"
"swaggerjsonlogical","os-deferred-delete-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/9a95150a-c2c3-4816-a47b-f12f41be14c1","swaggerjsonlogical","os-diagnostics V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/8de8cd30-eb7f-4a73-87a8-30abc80f15b3"
"swaggerjsonlogical","os-diagnostics V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/8de8cd30-eb7f-4a73-87a8-30abc80f15b3","swaggerjsonlogical","os-ext-img-size V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/8ce9069d-e9c7-44f8-84a4-f336aedd00a7"
"swaggerjsonlogical","os-ext-img-size V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/8ce9069d-e9c7-44f8-84a4-f336aedd00a7","swaggerjsonlogical","os-consoles V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/66b1bab1-eda8-468c-b049-2a6e6eda66c2"
"swaggerjsonlogical","os-consoles V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/66b1bab1-eda8-468c-b049-2a6e6eda66c2","swaggerjsonlogical","os-coverage V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/ed10fbc8-07e6-4959-8bac-e19b9c050796"
"swaggerjsonlogical","os-coverage V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/ed10fbc8-07e6-4959-8bac-e19b9c050796","swaggerjsonlogical","os-ext-az V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/c4ee84b2-3def-4373-8274-5faf3eae9334"
"swaggerjsonlogical","os-ext-az V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/c4ee84b2-3def-4373-8274-5faf3eae9334","swaggerjsonlogical","os-hosts V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/44ff46b9-3e80-4584-96e3-18bddde49e12"
